Feature,Importance,CumSumImportance
LORS_ThisSideVolCumQuarts_1_0,0.0007776603,0.96455234
PAV_OppSidePriceAt_100_100000,0.00077612133,0.96532845
LORS_OppSideVolCumQuarts_2_0,0.0007717742,0.9661002
LH_OppSideMaxVolumeRatio_2,0.0007658033,0.966866
LORS_ThisSideVolQuarts_1_1,0.00076371984,0.96762973
LHD_ThisSideInsertedVolume_0_1000000,0.0007632484,0.96839297
LSD_OppSideTotalOrders_1_10000,0.00076317677,0.96915615
PAV_ThisSidePriceAt_50_100000,0.0007553294,0.96991146
LSD_ThisSideTotalVolume_0_10000,0.00074713345,0.9706586
FFL_BFratio_1,0.0007463679,0.97140497
PAV_ThisSidePriceAt_25_100000,0.0007442896,0.97214925
LHD_OppSideInsertedVolume_1_100,0.0007427787,0.97289205
PAV_OppSidePriceAt_50_1000,0.0007317804,0.9736238
PAV_OppSidePriceAt_100_100,0.0007174328,0.9743413
LORS_OppSideVolQuarts_1_1,0.0007122149,0.9750535
LORS_ThisSideVolCumQuarts_2_0,0.0007066856,0.97576016
LORS_ThisSideTimestampQuarts_0_1,0.0007017376,0.9764619
LORS_OppSideVolQuarts_1_0,0.0006897316,0.97715163
PAV_ThisSidePriceAt_50_1000,0.0006865222,0.97783816
LORS_ThisSideTimestampQuarts_2_0,0.0006813836,0.97851956
PT_OppSideFurthestPrice_10000,0.0006767587,0.9791963
LH_OppSideMaxVolumeRatio_1,0.0006751752,0.9798715
LS_OppSideNewOrderAge_4,0.0006696798,0.98054117
LORS_OppSideVolCumQuarts_2_1,0.000669004,0.9812102
LORS_OppSideTimestampQuarts_3_1,0.0006619441,0.98187214
PAV_OppSidePriceAt_50_1000000,0.00066009216,0.98253226
PAV_ThisSidePriceAt_500_10,0.0006483692,0.98318064
PAV_ThisSidePriceAt_50_1000000,0.0006397982,0.98382044
LHD_ThisSideInsertedVolume_1_1,0.0006344771,0.98445493
PAV_ThisSidePriceAt_200_1000,0.00063224736,0.98508716
PAV_ThisSidePriceAt_50_10000,0.0006317992,0.98571897
LHD_ThisSidePulledVolume_1_1000,0.00062934164,0.98634833
PT_ThisSideFurthestPrice_10000,0.0006261404,0.9869745
LH_OppSideMaxVolumeRatio_4,0.0006188011,0.9875933
PAV_ThisSidePriceAt_25_10000,0.00060854095,0.98820186
PAV_OppSidePriceAt_50_10,0.0005946462,0.98879653
LS_OppSideNewOrderAge_3,0.0005772777,0.9893738
LHD_OppSidePulledVolume_1_1,0.0005602026,0.989934
PAV_OppSidePriceAt_25_100000,0.00055746105,0.9904915
LHD_OppSideInsertedVolume_1_1,0.00054176105,0.99103326
PAV_ThisSidePriceAt_100_10,0.00053092797,0.99156415
FFL_BFratio_100000,0.0005208086,0.992085
PAV_OppSidePriceAt_100_1,0.00049741485,0.9925824
PAV_OppSidePriceAt_200_100,0.00048591293,0.9930683
PAV_ThisSidePriceAt_100_10000,0.00048193274,0.9935502
PAV_ThisSidePriceAt_100_1000,0.00046674776,0.99401695
PAV_OppSidePriceAt_100_10000,0.00044136908,0.9944583
PT_TradedPrice_25000,0.00041800117,0.9948763
PT_OppSideFurthestPrice_10,0.00041640928,0.9952927
PAV_OppSidePriceAt_200_1000,0.0004127243,0.9957054
PAV_ThisSidePriceAt_100_100,0.00040653552,0.996112
PT_ThisSideFurthestPrice_10,0.00039071485,0.9965027
PT_TradedPrice_0.1,0.00038560847,0.9968883
PT_ThisSideFurthestPrice_1000,0.00037638136,0.9972647
PT_TradedPrice_250000,0.00036956466,0.99763423
PT_TradedPrice_0.2,0.0003370887,0.9979713
PT_OppSideFurthestPrice_1,0.00032270147,0.998294
PT_TradedPrice_0,0.00031405664,0.99860805
PT_OppSideFurthestPrice_100,0.00030058596,0.99890864
PT_ThisSideFurthestPrice_1,0.00029992254,0.99920857
PT_OppSideFurthestPrice_1000,0.00027969165,0.99948823
PT_TradedPrice_2000,0.00025740356,0.99974567
PT_ThisSideFurthestPrice_100,0.00025444705,1.0000001
